"Text", "Type"
"ACM", "AWS_OFFERING"
"ACM PCA", "AWS_OFFERING"
"ACM Private CA", "AWS_OFFERING"
"AD Connector", "AWS_OFFERING"
"AMS", "AWS_OFFERING"
"API Gateway", "AWS_OFFERING"
"AWS", "AWS_OFFERING"
"AWS Amplify", "AWS_OFFERING"
"AWS App Mesh", "AWS_OFFERING"
"AWS AppSync", "AWS_OFFERING"
"AWS Application Auto Scaling", "AWS_OFFERING"
"AWS Application Discovery Service", "AWS_OFFERING"
"AWS Artifact", "AWS_OFFERING"
"AWS Auto Scaling", "AWS_OFFERING"
"AWS Backup", "AWS_OFFERING"
"AWS Batch", "AWS_OFFERING"
"AWS Billing and Cost Management", "AWS_OFFERING"
"AWS Blockchain Templates", "AWS_OFFERING"
"AWS CLI", "AWS_OFFERING"
"AWS Certificate Manager (ACM)", "AWS_OFFERING"
"AWS Certificate Manager Private Certificate Authority", "AWS_OFFERING"
"AWS Chalice", "AWS_OFFERING"
"AWS Cloud9", "AWS_OFFERING"
"AWS Cloud Map", "AWS_OFFERING"
"AWS CloudFormation", "AWS_OFFERING"
"AWS CloudHSM", "AWS_OFFERING"
"AWS CloudTrail", "AWS_OFFERING"
"AWS CodeBuild", "AWS_OFFERING"
"AWS CodeCommit", "AWS_OFFERING"
"AWS CodeDeploy", "AWS_OFFERING"
"AWS CodePipeline", "AWS_OFFERING"
"AWS CodeStar", "AWS_OFFERING"
"AWS Command Line Interface (AWS CLI)", "AWS_OFFERING"
"AWS Config", "AWS_OFFERING"
"AWS Control Tower", "AWS_OFFERING"
"AWS DMS", "AWS_OFFERING"
"AWS Data Pipeline", "AWS_OFFERING"
"AWS DataSync", "AWS_OFFERING"
"AWS Database Migration Service (AWS DMS)", "AWS_OFFERING"
"AWS DeepLens", "AWS_OFFERING"
"AWS DeepRacer", "AWS_OFFERING"
"AWS Device Farm", "AWS_OFFERING"
"AWS Direct Connect", "AWS_OFFERING"
"AWS Directory Service", "AWS_OFFERING"
"AWS Directory Service for Microsoft Active Directory", "AWS_OFFERING"
"AWS Elastic Beanstalk", "AWS_OFFERING"
"AWS Elemental MediaConnect", "AWS_OFFERING"
"AWS Elemental MediaConvert", "AWS_OFFERING"
"AWS Elemental MediaLive", "AWS_OFFERING"
"AWS Elemental MediaPackage", "AWS_OFFERING"
"AWS Elemental MediaStore", "AWS_OFFERING"
"AWS Elemental MediaTailor", "AWS_OFFERING"
"AWS Fargate", "AWS_OFFERING"
"AWS Firewall Manager", "AWS_OFFERING"
"AWS Global Accelerator", "AWS_OFFERING"
"AWS Glue", "AWS_OFFERING"
"AWS GovCloud (US)", "AWS_OFFERING"
"AWS Health", "AWS_OFFERING"
"AWS Identity and Access Management (IAM)", "AWS_OFFERING"
"AWS Import/Export", "AWS_OFFERING"
"AWS IoT 1-Click", "AWS_OFFERING"
"AWS IoT Analytics", "AWS_OFFERING"
"AWS IoT Core", "AWS_OFFERING"
"AWS IoT Device Defender", "AWS_OFFERING"
"AWS IoT Device Management", "AWS_OFFERING"
"AWS IoT Events", "AWS_OFFERING"
"AWS IoT Greengrass", "AWS_OFFERING"
"AWS IoT SiteWise", "AWS_OFFERING"
"AWS IoT Things Graph", "AWS_OFFERING"
"AWS KMS", "AWS_OFFERING"
"AWS Key Management Service (AWS KMS)", "AWS_OFFERING"
"AWS Lambda", "AWS_OFFERING"
"AWS License Manager", "AWS_OFFERING"
"AWS Managed Microsoft AD", "AWS_OFFERING"
"AWS Managed Services", "AWS_OFFERING"
"AWS Management Console", "AWS_OFFERING"
"AWS Management Portal for vCenter", "AWS_OFFERING"
"AWS Marketplace", "AWS_OFFERING"
"AWS Migration Hub", "AWS_OFFERING"
"AWS Mobile Hub", "AWS_OFFERING"
"AWS Mobile SDK for Android", "AWS_OFFERING"
"AWS Mobile SDK for Unity", "AWS_OFFERING"
"AWS Mobile SDK for iOS", "AWS_OFFERING"
"AWS OpsWorks", "AWS_OFFERING"
"AWS OpsWorks Stacks", "AWS_OFFERING"
"AWS OpsWorks for Chef Automate", "AWS_OFFERING"
"AWS Organizations", "AWS_OFFERING"
"AWS Personal Health Dashboard", "AWS_OFFERING"
"AWS Resource Groups", "AWS_OFFERING"
"AWS RoboMaker", "AWS_OFFERING"
"AWS SAM", "AWS_OFFERING"
"AWS SCT", "AWS_OFFERING"
"AWS SDK for .NET", "AWS_OFFERING"
"AWS SDK for .NET and Xamarin", "AWS_OFFERING"
"AWS SDK for C++", "AWS_OFFERING"
"AWS SDK for Go", "AWS_OFFERING"
"AWS SDK for Java", "AWS_OFFERING"
"AWS SDK for JavaScript in Node.js", "AWS_OFFERING"
"AWS SDK for JavaScript in the Browser", "AWS_OFFERING"
"AWS SDK for PHP", "AWS_OFFERING"
"AWS SDK for Python (boto)", "AWS_OFFERING"
"AWS SDK for Ruby", "AWS_OFFERING"
"AWS SFTP", "AWS_OFFERING"
"AWS SMS", "AWS_OFFERING"
